-0.4518, -0.0159, 0.1662, 0.1575
-0.422, -0.0159, 0.6069, 0.1465
-0.4518, -0.0159, 1.4322, 0.1575
0.129, -0.0159, 0.8182, 0.1255
0.5103, -0.0159, 1.0015, 0.1189
0.5874, -0.0159, 0.1161, 0.1157
0.5214, -0.0159, 0.3798, 0.1569
0.5188, -0.0159, 0.7095, 0.1718
0.4157, -0.0159, 0.1224, 0.0573
0.6425, -0.0159, 0.5376, 0.0403
-0.3577, -0.0159, 0.3895, 0.0854
-0.5256, -0.0159, 0.4022, 0.0854
-0.5243, -0.0159, 0.8144, 0.0854
-0.5676, -0.0159, 0.7075, 0.0294
-0.5714, -0.0159, 0.5129, 0.0294
0.4168, -0.0159, 0.8844, 0.0294
0.6411, -0.0159, 0.8915, 0.0523
-0.2017, -0.0159, 0.8436, 0.1255
-0.0084, -0.0159, 0.9233, 0.0473
-0.0208, -0.0159, 0.8474, 0.0271
-0.0244, -0.0159, 0.7419, 0.0457
-0.5243, -0.0159, 1.1994, 0.0854
-0.3669, -0.0159, 1.2191, 0.0704
-0.4124, -0.0159, 1.0474, 0.1043
-0.5617, -0.0159, 1.0704, 0.0453
-0.5513, -0.0159, 0.9646, 0.06
-0.3878, -0.0159, 0.8762, 0.0621
-0.413, -0.0159, 0.7863, 0.0294
-0.4711, -0.0159, 0.9254, 0.0294
-0.0333, -0.0159, 0.8058, 0.0168
0.3123, -0.0159, 0.8947, 0.0735
0.3013, -0.0159, 0.7622, 0.0563
0.2384, -0.0159, 0.7138, 0.024
0.0545, -0.0159, 0.942, 0.0181
0.2214, -0.0159, 0.9427, 0.0278
0.086, -0.0159, 0.9527, 0.0146
-1.954, -0.0159, 1.0511, 0.044
0.1431, -0.0159, 0.9569, 0.0134
0.1799, -0.0159, 0.9475, 0.0136
-0.5885, -0.0159, 0.6085, 0.0192
-0.5805, -0.0159, 1.5672, 0.0294
-0.3148, -0.0159, 1.5647, 0.0294
-0.3111, -0.0159, 1.1379, 0.0294
-0.316, -0.0159, 0.9524, 0.032
-0.3016, -0.0159, 0.4866, 0.0249
-0.3082, -0.0159, 0.2863, 0.0294
-0.3075, -0.0159, 0.0393, 0.0332
-0.5804, -0.0159, 0.3011, 0.0294
0.4191, -0.0159, 0.5355, 0.0294
0.6525, -0.0159, 0.2467, 0.0294
0.4671, -0.0159, 0.1981, 0.0294
-0.3516, -0.0159, 0.7733, 0.0294
0.5812, -0.0159, 1.3058, 0.1136
0.4603, -0.0159, 1.4835, 0.1006
0.4149, -0.0159, 1.3288, 0.0569
0.6127, -0.0159, 1.479, 0.0569
0.4524, -0.0159, 1.2494, 0.0294
0.5682, -0.0159, 1.5547, 0.0294
0.6241, -0.0159, 1.5636, 0.0294
0.3813, -0.0159, 1.5758, 0.0198
0.6707, -0.0159, 1.5723, 0.017
0.6633, -0.0159, 1.5386, 0.017
0.6518, -0.0159, 1.4139, 0.017
0.4599, -0.0159, 1.2011, 0.0203
0.6759, -0.0159, 0.8249, 0.0223
0.6431, -0.0159, 1.1446, 0.0566
-0.293, -0.0159, 1.0826, 0.0197
1.2626, -0.0159, 0.1662, 0.1575
1.2924, -0.0159, 0.6069, 0.1465
1.2626, -0.0159, 1.4322, 0.1575
1.3567, -0.0159, 0.3895, 0.0854
